job_id,runtime_key,identity,event,target_variants,duration_seconds,api_endpoint,make_instrumental,wait_audio,output_basename,provider_fit,prompt
cue_run_start,stinger.run.start,gameplay,run_start,1,1.0-2.0,/api/generate,true,false,stinger_run_start,UNSUPPORTED_FOR_SHORT_SFX,"Short RUN START gameplay sound effect for a cute chaotic zombie arcade shooter. Bright synth burst, toybox percussion and tiny brass punch. Energetic and immediately readable, fast attack, clean short tail. No melody, vocals, horror, ambience, cinematic boom or music."
cue_wave_start,stinger.wave.start,gameplay,wave_start,2,0.8-1.5,/api/generate,true,false,stinger_wave_start,UNSUPPORTED_FOR_SHORT_SFX,"Short WAVE START warning sound effect for a cute chaotic zombie arcade shooter. Urgent rising arcade pulse, punchy toy percussion and sharp brass accent. Readable through gunfire, clean ending. No voice, melody, horror, ambience or trailer boom."
cue_wave_clear,stinger.wave.clear,gameplay,wave_clear,2,1.0-2.0,/api/generate,true,false,stinger_wave_clear,UNSUPPORTED_FOR_SHORT_SFX,"Short WAVE CLEAR gameplay sound effect for a colorful zombie arcade shooter. Bright upward synth flourish, toy percussion and satisfying sparkle. Celebratory but compact, clean ending. No vocals, full melody, cinematic fanfare, ambience or music loop."
dog_pup_attack,sfx.creature.dog_pup.attack,dog_pup,attack,3,0.25-0.60,/api/generate,true,false,sfx_creature_dog_pup_attack,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cute undead puppy attack vocal sound effect: short aggressive bark, snap and tiny growl. Fast, high-pitched and energetic. No pain, death, weapon impact, music, ambience or human speech."
dog_pup_hurt,sfx.creature.dog_pup.hurt,dog_pup,hurt,6,0.18-0.50,/api/generate,true,false,sfx_creature_dog_pup_hurt,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cute undead puppy hurt sound effect: brief involuntary high canine yelp from a bullet hit. Dry, punchy, varied and not fatal. No gunshot, physical impact, music, ambience or human speech."
dog_pup_death,sfx.creature.dog_pup.death,dog_pup,death,4,0.60-1.10,/api/generate,true,false,sfx_creature_dog_pup_death,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cute undead puppy death vocal sound effect: final yelp falling into a weak growl. Arcade-stylized, slightly comedic, not tragic or graphic. No impact, body fall, music or ambience."
cat_meow_attack,sfx.creature.cat_meow.attack,cat_meow,attack,3,0.25-0.60,/api/generate,true,false,sfx_creature_cat_meow_attack,UNSUPPORTED_FOR_SHORT_SFX,"Isolated undead cartoon cat attack vocal sound effect: sharp hiss, hostile meow and quick bite snarl. Agile and feline, never canine. No pain, death, impact, music or ambience."
cat_meow_hurt,sfx.creature.cat_meow.hurt,cat_meow,hurt,6,0.18-0.50,/api/generate,true,false,sfx_creature_cat_meow_hurt,UNSUPPORTED_FOR_SHORT_SFX,"Isolated undead cartoon cat hurt sound effect: sudden feline squeal or offended yowl. Sharp, dry, non-fatal and clearly different from a dog. No gunshot, physical impact, music or ambience."
cat_meow_death,sfx.creature.cat_meow.death,cat_meow,death,4,0.60-1.20,/api/generate,true,false,sfx_creature_cat_meow_death,UNSUPPORTED_FOR_SHORT_SFX,"Isolated undead cartoon cat death vocal sound effect: final yowl descending into a short breathy hiss. Playful arcade tone, not horror or tragic. No impact, body fall, music or ambience."
dog_bark_attack,sfx.creature.dog_bark.attack,dog_bark,attack,3,0.30-0.70,/api/generate,true,false,sfx_creature_dog_bark_attack,UNSUPPORTED_FOR_SHORT_SFX,"Isolated heavy undead dog attack sound effect: deep bark, forceful growl and biting lunge vocal. Large aggressive canine identity. No hurt, death, impact, music or ambience."
dog_bark_hurt,sfx.creature.dog_bark.hurt,dog_bark,hurt,5,0.20-0.55,/api/generate,true,false,sfx_creature_dog_bark_hurt,UNSUPPORTED_FOR_SHORT_SFX,"Isolated heavy undead dog hurt sound effect: low abrupt canine grunt and rough yelp. Powerful but non-fatal. No gunshot, physical impact, body fall, music or ambience."
dog_bark_death,sfx.creature.dog_bark.death,dog_bark,death,3,0.70-1.30,/api/generate,true,false,sfx_creature_dog_bark_death,UNSUPPORTED_FOR_SHORT_SFX,"Isolated heavy undead dog death vocal sound effect: deep final howl collapsing into a rough exhale. Punchy arcade style, not tragic or horror-heavy. No impact, music or ambience."
skeleton_attack,sfx.creature.skeleton.attack,skeleton,attack,3,0.25-0.65,/api/generate,true,false,sfx_creature_skeleton_attack,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cartoon skeleton attack sound effect: dry undead exhale, jaw chatter and aggressive bone rattle. No fleshy voice, weapon swing, physical impact, music or ambience."
skeleton_hurt,sfx.creature.skeleton.hurt,skeleton,hurt,6,0.18-0.50,/api/generate,true,false,sfx_creature_skeleton_hurt,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cartoon skeleton hurt sound effect: short startled undead rasp with compact loose-bone rattle. Non-fatal and dry. No bullet impact, large bone break, music or ambience."
skeleton_death,sfx.creature.skeleton.death,skeleton,death,4,0.70-1.30,/api/generate,true,false,sfx_creature_skeleton_death,UNSUPPORTED_FOR_SHORT_SFX,"Isolated cartoon skeleton death sound effect: final hollow rasp followed by collapsing bone chatter. Comedic arcade finish, not horror. No weapon impact, ground crash, music or ambience."
