id,name,layer,family,short,long,icon,rarity,status,cost,fireModes,synergyTags,effectTags,minLevel,require,block,prereq,exclude,maxRank,baseW,newW,rankW,famBias,autoPick,dupPolicy,trigger,threshold,cooldown,reset,effectType,target,base,perRank,duration,radius,maxTargets,maxStacks,stackRule,dmgSource,budget,contribution,softCap,hardCap,addMul,procLimit,vfx,sfx,hud,colour,readability,existingPrimitive,newPrimitive,pooling,alloc,queries,spawnCap,webgl,determinism,unitTest,playTest,visual,perfGate,playtestQ,failCond
stat.damage,Damage Up,Stat,Any,All weapon damage increases.,Multiplies outgoing weapon damage. Pure filler: it smooths the power curve and never carries a build.,powerstrike,Common,MUST,LOW,All,-,Damage,1,-,-,-,-,5,100,100,80,none,yes,RankUp,Passive,-,-,-,StatMultiplier,Self,+15% damage,+10% damage,run,-,-,5,Multiplicative,Weapon,1.0,DPS,none,rank 5,Multiplicative,-,none,card confirm,build list entry,grey,numeric only,RunPerkKind.Damage consumed at Weapon.cs:650 (FACT),none,-,0,0,0,none,deterministic,multiplier stacks multiplicatively,applies to all fire modes,-,-,Is it ever the best of three?,Always chosen -> other cards too weak
stat.firerate,Fire Rate Up,Stat,Any,"Weapon fires faster, up to a soft cap.",Raises fire rate with diminishing returns near the cap so rapid families cannot break audio or VFX budgets.,machine,Common,MUST,LOW,All,Rapid,FireRate,1,-,-,-,-,5,100,100,80,none,yes,RankUp,Passive,-,-,-,StatMultiplier,Self,+12% fire rate,+8% fire rate,run,-,-,5,Multiplicative,-,1.0,DPS,2.2x base rate,2.5x base rate,Multiplicative,-,none,cadence audibly faster,build list entry,grey,audible,RunPerkKind.FireRate consumed at Weapon.cs:120 (FACT),soft-cap curve,-,0,0,0,rapid-fire audio voice cap,deterministic,soft cap never exceeded,LMG at cap does not exceed audio budget,-,shot audio voices <= cap,Does the cap feel bad?,Cap makes the card feel dead late
stat.movespeed,Move Speed Up,Stat,Any,You move faster.,Raises movement speed. Supports every movement-triggered skill.,runner,Common,MUST,LOW,All,Move,Mobility,1,-,-,-,-,5,100,100,80,Sidearm+10,yes,RankUp,Passive,-,-,-,StatMultiplier,Self,+10% move speed,+7% move speed,run,-,-,5,Multiplicative,-,1.0,Survival+DPS via Run&Gun,1.6x base,1.8x base,Multiplicative,-,none,-,build list entry,grey,felt immediately,RunPerkKind.MoveSpeed consumed at PlayerMovement.cs:78 (FACT),soft cap,-,0,0,0,none,deterministic,cap respected,camera keeps up at max speed,-,streaming keeps up at max speed,Does the world load fast enough?,Player outruns chunk streaming
stat.maxhealth,Max Health Up,Stat,Any,Max and current health increase now.,"Raises max health and heals the same amount at pick time, so it is useful even when taken while hurt.",sturdy,Common,MUST,LOW,All,-,Survival,1,-,-,-,-,5,100,100,80,Shotgun+10,yes,RankUp,Passive,-,-,-,StatAdd,Self,+20% max HP and heal the same,+15%,run,-,-,5,Additive,-,1.0,Survival,none,rank 5,Additive,-,brief heal flash,heal,health bar grows,grey,visible on the bar,Health.IncreaseMax applied at RunOverlays.cs:375 (FACT),none,-,0,0,0,none,deterministic,max and current both rise,taking it at low HP heals,health bar,-,Is it ever better than damage?,Never picked -> defensive play is unrewarded
stat.coingain,Coin Gain Up,Stat,Any,You earn more Coin.,Raises Coin gain. Only meaningful once Coin has in-run sinks; otherwise it is a dead card.,packaging,Common,SHOULD,LOW,All,-,Economy,1,-,-,-,-,3,70,70,50,none,yes,RankUp,Passive,-,-,-,StatMultiplier,Self,+25% Coin,+15% Coin,run,-,-,3,Multiplicative,-,0.6,Economy,none,rank 3,Multiplicative,-,none,-,build list entry,grey,numeric only,RunPerkKind.CoinGain consumed at RunState.cs:129 (FACT),none,-,0,0,0,none,deterministic,applies once at the ledger,Supply Cache affordable earlier,-,-,Does Coin matter in-run yet?,No in-run sink -> card is dead; then demote to LATER
sidearm.rungun,Run & Gun,Signature,Sidearm,Moving makes you shoot faster; standing still loses it.,"While moving above a speed threshold, fire rate ramps up. Stopping decays the bonus over a short window.",runner,Uncommon,MUST,LOW,SingleHitscan,"Move,Rapid","FireRate,Mobility",2,Sidearm,LMG,-,-,3,120,140,90,Sidearm+60,yes,RankUp,OnDistanceTravelled,moving above 60% max speed,-,decays over 1.5s when below threshold,ConditionalStat,Self,+25% fire rate while moving,+12%,while condition holds,-,-,1,Replace,-,2.0,DPS conditional on mobility,shares stat.firerate cap,shared cap,Multiplicative,-,subtle muzzle cadence,audible rate change,small ramp pip,cyan,audible within 1s of moving,Weapon.PerkedFireRate + PlayerMovement velocity (FACT),velocity threshold sampler + decay timer,-,0,0,0,none,deterministic,ramp rises and decays on threshold cross,no bonus while stationary,HUD pip,0 allocations per frame,Does the player notice they must keep moving?,Player cannot tell it is active
sidearm.quickstep,Quickstep Round,Signature,Sidearm,"Every N metres moved, fire an empowered shot.",Travelling accumulates distance. On reaching the threshold the NEXT automatically fired shot is empowered. The counter resets when that shot is consumed. The player never has to withhold fire.,runningstrike,Uncommon,MUST,LOW,"SingleHitscan,MultiPelletHitscan","Move,Crit","Damage,Burst",2,Sidearm,-,-,-,3,120,140,90,Sidearm+60,yes,RankUp,OnDistanceTravelled,N metres (TUNING),-,on empowered shot consumed,NextShotEmpower,CurrentTarget,next shot deals x2.5 damage,-15% distance required,until consumed,-,1,1,Replace,Weapon,2.0,Burst DPS,one charge stored,one charge stored,Multiplicative,one per threshold,bright tracer + hit flash,distinct crack,charge pip fills,cyan,pip full = next shot is the big one,damage multiply path exists (Weapon.cs:650),distance accumulator + one-shot empower flag,-,0,0,1 tracer,none,deterministic,counter resets exactly on consumption; never fires without a valid target,works under auto-fire with no player input,tracer distinct from normal shots,0 alloc,Can the player feel the empowered shot land?,REJECTED VARIANT: any version requiring the player to stop firing is invalid under auto-fire
smg.static,Static Build-up,Signature,SMG,Consecutive hits charge a lightning discharge.,Each hit adds charge. At full charge the next hit discharges chain lightning through nearby enemies.,energetic,Rare,MUST,MEDIUM,SingleHitscan,"Rapid,Shock",ChainDamage,3,SMG,Marksman,-,-,3,110,130,90,SMG+60,yes,RankUp,OnHit,N consecutive hits (TUNING),0.5s internal,charge decays if no hit for 2s,ChainDamage,NearestEnemy from hit point,arc to 3 enemies,+1 enemy,instant,4m per jump,5,1,Replace,Power,3.0,Crowd DPS,5 targets,5 targets,Additive to hit,max 2 discharges/second,arc between targets,rising whine then crack,charge meter,electric blue,meter fills visibly,NONE for chaining — FireMode.ChainLightning is an enum value only; Weapon.cs implements only PiercingLine among special modes; chainCount=0 on all 25 assets (FACT),chain target selection + arc VFX + charge meter,arc VFX pooled,0 per arc after warmup,1 OverlapSphere per jump,5 arcs per discharge,query + particle cost — must be capped,deterministic given seed,never exceeds maxTargets; never re-hits the same enemy in one discharge,discharge visible against 40 enemies,arc capture,"<= 2 discharges/s, <= 5 arcs each, 0 alloc steady state",Is the discharge readable in a crowd?,Arc spam makes the screen unreadable
smg.bullethose,Bullet Hose,Signature,SMG,Holding fire ramps rate and spread; losing the target decays it.,Continuous fire on a valid target ramps fire rate and spread toward a cap. Losing the target decays both.,machine,Uncommon,MUST,LOW,SingleHitscan,Rapid,"FireRate,Spread",2,SMG,Marksman,-,-,3,120,140,90,SMG+60,yes,RankUp,OnContinuousFire,1s sustained,-,"OnTargetChanged or fire stop, decay over 1s",RampStat,Self,"+40% fire rate, +30% spread at cap",+15% rate at cap,while sustained,-,-,1,Replace,-,2.0,"Sustained DPS, worse precision",shares fire-rate cap,shared cap,Multiplicative,-,barrel heat tint,spin-up,ramp bar,orange,audible spin-up,Weapon.PerkedFireRate; spreadAngle field exists on WeaponData (FACT),ramp timer + spread modulation,-,0,0,0,audio voice cap at high rate,deterministic,decays on target change,spread increase is visible,spread cone capture,audio voices capped,Is the accuracy cost felt?,Pure upside -> no decision
ar.focusfire,Focus Fire,Signature,AssaultRifle,Hits on the same target ramp damage; switching resets it.,Consecutive hits on one target ramp damage. Changing target resets the ramp explicitly and visibly.,ofi,Rare,MUST,MEDIUM,SingleHitscan,Precision,"Damage,Ramp",3,AssaultRifle,Shotgun,-,-,3,110,130,90,AssaultRifle+60,yes,RankUp,OnHit,consecutive hits on the same target,-,"OnTargetChanged (immediate, with a visible cue)",RampDamage,CurrentTarget,+8% damage per hit,+4% per hit,while target held,-,1,8,Additive,Weapon,2.5,Single-target DPS,8 stacks,8 stacks,Additive,-,target-side impact escalation,pitch rises with stacks,stack pips on the target,amber,"pips on the enemy, not a corner HUD",damage multiply path (Weapon.cs:650); auto-target already tracks a current target,per-target hit counter with reset on target change,-,0,0,0,none,deterministic,reset is exact on target change,auto-aim switching does not silently farm stacks,stack pips,0 alloc,Does auto-target make this uncontrollable?,Auto-aim retargets so often the ramp never builds -> cut or move to Marksman
ar.breach,Breach Round,Signature,AssaultRifle,Every Nth shot pierces and leaves the target Exposed.,A periodic shot pierces through targets and applies a short Exposed state that increases damage taken.,powerstrike,Rare,SHOULD,MEDIUM,SingleHitscan,"Precision,Pierce","Pierce,Debuff",4,AssaultRifle,-,-,-,3,100,120,85,AssaultRifle+60,yes,RankUp,OnShot,every Nth shot (TUNING),-,on fire,PierceAndDebuff,EnemiesInLine,"pierce 2, Exposed +20% damage taken for 3s",+1 pierce,3s Exposed,-,3,1,RefreshDuration,Weapon,3.0,Single-target + light crowd,pierce 4,pierce 4,Multiplicative on incoming,one per N shots,heavier tracer,deeper report,Exposed marker on the enemy,amber,marker on the enemy silhouette,pierceCount/pierceDamageFalloff fields exist; PiercingLine fire mode IS implemented (Weapon.cs:618) (FACT),shot counter + Exposed status carrier on the enemy,-,0,RaycastAll on the Nth shot only,1 tracer,RaycastAll bounded by N,deterministic,Exposed applies and expires; pierce respects cap,visible on a boss,Exposed marker,RaycastAll frequency bounded,Is Exposed legible to the player?,Exposed becomes an invisible bookkeeping buff -> cut
shotgun.pointblank,Point Blank,Signature,Shotgun,Damage rises sharply at close range.,"Applies a steep damage bonus inside a short radius, rewarding the shotgun's positional risk.",fist,Uncommon,MUST,LOW,MultiPelletHitscan,Close,Damage,2,Shotgun,Marksman,-,-,3,120,140,90,Shotgun+60,yes,RankUp,OnHit,hit within R metres (TUNING),-,-,ConditionalDamage,CurrentTarget,+60% damage inside R,+25%,instant,R metres,all pellets,1,Replace,Weapon,2.0,Burst DPS at risk,none,rank 3,Multiplicative,-,heavier impact + screen kick,fuller boom,none needed,red,impact weight makes it obvious,WeaponData.RangeFalloff(distance01) exists and is applied at Weapon.cs:652 (FACT),close-range bonus curve (extends an existing curve),-,0,0,0,none,deterministic,bonus applies per pellet consistently,range boundary feels fair,impact capture,0 alloc,Does it justify closing the distance?,Player still kites -> risk is not paying
shotgun.concussion,Concussion,Signature,Shotgun,Blasts shove enemies back and briefly slow them.,"Each blast applies knockback and a short slow to everything it hits, converting the shotgun into a space tool.",highkick,Uncommon,MUST,LOW,MultiPelletHitscan,"Close,Control","Knockback,Slow",2,Shotgun,-,-,-,3,120,140,90,Shotgun+60,yes,RankUp,OnHit,any blast hit,-,-,KnockbackAndSlow,EnemiesInCone,push + 30% slow for 1s,"+10% slow, +push",1s slow,blast cone,8,1,RefreshDuration,-,2.5,Control / survival,slow 50%,slow 50%,Replace,-,bodies visibly shoved,concussive thump,none,red,the shove IS the feedback,WeaponData.knockback + ZombieBase.ApplyPhysicalPush called at Weapon.cs:666 (FACT),slow status on the enemy motor,-,0,0 extra (reuses pellet hits),0,crowd steering stability under mass push,deterministic,slow expires; push respects crowd separation,pushing 20 enemies does not destabilise steering,crowd push capture,steering stable with 40 enemies,Does it create usable space?,Push scatters enemies so far the player cannot kill them
lmg.heavypressure,Heavy Pressure,Signature,LMG,"Sustained fire ramps damage and control, but slows you down.",Holding fire builds a pressure charge that raises damage and adds a light slow to hits. The charge trades movement speed away as it grows.,sturdy,Rare,SHOULD,MEDIUM,SingleHitscan,"Heavy,Control","Damage,Slow,MobilityCost",4,LMG,Sidearm,-,-,3,100,120,85,LMG+60,yes,RankUp,OnContinuousFire,sustained fire,-,decays on fire stop,RampDamageAndSlowSelf,Self+CurrentTarget,"+30% damage at full charge, -25% move speed at full charge",+12% damage,while sustained,-,-,1,Replace,Weapon,3.0,Sustained DPS with a mobility cost,charge 100%,-40% move speed floor,Multiplicative,-,barrel glow at charge,deepening roar,charge bar,orange,movement change is felt,damage multiply + move-speed multiply both exist (FACT),charge accumulator with self-debuff,-,0,0,0,none,deterministic,speed floor respected,player can still escape at full charge,charge bar,0 alloc,Does the mobility cost create a real decision?,Rewards standing still with no downside -> conflicts with Move-with-purpose pillar
lmg.shockwave,Shockwave Belt,Signature,LMG,Every N bullets sends a shockwave cone forward.,A bullet counter periodically emits a forward cone shockwave that damages and staggers.,fighter,Rare,LATER,MEDIUM,SingleHitscan,"Heavy,Blast","ConeDamage,Stagger",4,LMG,-,-,-,3,90,110,80,LMG+60,yes,RankUp,OnShot,every N bullets (TUNING),-,on emit,ConeDamage,EnemiesInCone,cone damage + brief stagger,+cone width,instant,cone 6m,10,1,Replace,Power,3.0,Crowd DPS,10 targets,10 targets,Additive,max 1 per 0.7s,cone wave,heavy thud,bullet counter pip,orange,cone is visible,none for cone queries,cone overlap query + wave VFX,wave VFX pooled,0 after warmup,1 OverlapSphere + angle filter per emit,1 wave,query frequency bounded by N,deterministic,cone respects angle and cap,readable in a crowd,cone capture,<= 1.4 emits/s,Is it distinct from Soul Burst?,Reads the same as Soul Burst -> merge or cut
marksman.longshot,Longshot,Signature,Marksman,"The further the target, the more damage and pierce.","Damage and pierce scale with distance to the target, rewarding the marksman's positioning.",backstab,Rare,SHOULD,LOW,PiercingLine,"Precision,Pierce","Damage,Pierce",3,Marksman,Shotgun,-,-,3,110,130,90,Marksman+60,yes,RankUp,OnHit,distance to target,-,-,DistanceScaledDamage,EnemiesInLine,"+10% damage per 4m, +1 pierce beyond 10m",+5% per 4m,instant,-,4,1,Replace,Weapon,2.0,Single-target + line DPS,+80% damage,+80%,Multiplicative,-,longer tracer at distance,sharper crack,none,white,damage numbers show the difference,PiercingLine fire mode implemented (Weapon.cs:618); pierceCount=3 already on the marksman asset (FACT),distance-scaled damage curve,-,0,existing RaycastAll,1 tracer,none,deterministic,scaling clamps at cap,close-range penalty is felt,tracer length,0 alloc,Does it push the player to hold distance?,Player camps at max range and never moves -> conflicts with the movement pillar
marksman.hunters,Hunter's Mark,Signature,Marksman,"Targets bosses and elites first, and the first hit on them is empowered.","Overrides target selection to prefer boss/elite/special enemies, and empowers the first hit on a newly marked target.",falc_mixture,Rare,SHOULD,MEDIUM,"PiercingLine,SingleHitscan",Precision,"Targeting,Damage",4,Marksman,-,-,-,3,100,120,85,Marksman+60,yes,RankUp,OnTargetChanged,a priority enemy is in range,1s per target,on target death,TargetPriorityAndEmpower,PriorityEnemy,prefer elite/boss; first hit x2 damage,+50% first-hit damage,until target dies,weapon range,1,1,Replace,Weapon,2.5,Boss DPS + target control,one mark,one mark,Multiplicative,1 empower per target,mark icon over the target,lock-on tone,mark on the enemy,white,mark icon is explicit,auto-target selection exists; ZombieData.isElite flag exists (FACT),target-priority override + per-target empower record,-,0,reuses target scan,1 marker,none,deterministic,never marks two targets; empower fires once per target,does not fight the player's intent in a crowd,mark capture,0 extra queries,Does overriding auto-aim feel helpful or annoying?,Player loses agency over what they shoot -> demote to LATER
